Alojamiento,Precio,Puntuación,Reseñas,Ubicación,Estrellas,Distrito,Ciudad
CH Apartamento Plaza del Angel - Semisótano,1622.0,7.4,129,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Melia Madrid Princesa,3859.0,8.5,1978,"Moncloa - Aravaca, Madrid",5.0,Moncloa - Aravaca,Madrid
Cozy y Céntrico Apt para 6pax en Plaza del Carmen E2,1768.0,5.9,9,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Hyatt Regency Hesperia Madrid,5718.0,8.9,770,"Chamberí, Madrid",5.0,Chamberí,Madrid
Hard Rock Hotel Madrid,9771.0,8.9,5217,"Arganzuela, Madrid",4.0,Arganzuela,Madrid
Apartamentos Day Madrid ILDEFONSO Centro Gran Via Sol Malasaña,2152.0,6.1,55,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
WANDA METROPOLITANO - AIRPORT - NORTH Zone,1069.0,6.3,23,"Hortaleza, Madrid",0.0,Hortaleza,Madrid
Ciudad de la Paz,1242.0,6.6,114,"Fuencarral - El Pardo, Madrid",0.0,Fuencarral - El Pardo,Madrid
Apartamentos El Tiempo,2390.0,7.8,597,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
El Hogar de Mercedes,1782.0,7.8,20,"Carabanchel, Madrid",0.0,Carabanchel,Madrid
MintyStay - Alhelíes,2469.0,8.3,3,"Chamartín, Madrid",0.0,Chamartín,Madrid
Apartamento con garaje y gimnasio,1658.0,0.0,0,"San Blas, Madrid",0.0,San Blas,Madrid
Apartamentos El Tiempo Madrid,2620.0,7.8,419,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
La Casa del Salitre,1276.0,4.1,26,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apartamentos Barajas,1342.0,8.6,196,"Barajas, Madrid",0.0,Barajas,Madrid
Montera Center Madrid,2835.0,7.4,20,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Plaza de España Madrid Centro TEMPORAL M JAM47,1545.0,6.6,16,"Moncloa - Aravaca, Madrid",0.0,Moncloa - Aravaca,Madrid
Apartamento cerca de Goya con 2 dormitorios,981.0,1.8,66,"Salamanca, Madrid",0.0,Salamanca,Madrid
Hostal Gracias,900.0,7.0,2,Madrid,0.0,Madrid,Madrid
Ático en la Calle Fuencarrai con Gran Via,1780.0,6.8,25,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Puerta del Sol -de la Cruz Isabel I0 & Parking,1587.0,5.1,16,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Calle María Luisa con 3 Dormitorios,1022.0,2.2,92,"Tetuán, Madrid",0.0,Tetuán,Madrid
Metropolitan Atocha,1560.0,5.5,1768,"Arganzuela, Madrid",0.0,Arganzuela,Madrid
Apartamentos aeropuerto Juan,1690.0,5.8,36,"San Blas, Madrid",0.0,San Blas,Madrid
Queens Serrano,2094.0,6.6,8,"Salamanca, Madrid",0.0,Salamanca,Madrid
Waou Essence II Los Austrias,2250.0,7.4,14,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
El Escondite de La Caprichosa,1787.0,8.5,83,Madrid,0.0,Madrid,Madrid
"C1 Madrid, Zona exclusiva",1460.0,8.0,173,"Chamartín, Madrid",0.0,Chamartín,Madrid
"Mandarin Oriental Ritz, Madrid",185.74,9.4,229,"Retiro, Madrid",5.0,Retiro,Madrid
Apartamentos Day Madrid PLAZA DE ESPAÑA Centro Gran Via Sol Malasaña,2046.0,6.6,139,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
PUERTA DEL SOL Carretas APARTAMENTS & Rooms,1396.0,3.1,35,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,1931.0,6.3,214,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Sonder Malasaña,3328.0,9.0,839,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apartamento en Legazpi de 3 dormitorios pequeños,1072.0,1.3,94,"Arganzuela, Madrid",0.0,Arganzuela,Madrid
GRAN VIA -Chueca ROOMS PARKING TPH,1662.0,4.3,114,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
La Casa de Begoña,1633.0,6.5,282,"Fuencarral - El Pardo, Madrid",0.0,Fuencarral - El Pardo,Madrid
Apartamento 2 dormitorios cerca de Manuel Becerra,965.0,1.9,102,"Salamanca, Madrid",0.0,Salamanca,Madrid
Madrid Paseo de la Castellana,2052.0,8.4,62,"Tetuán, Madrid",0.0,Tetuán,Madrid
Apartment Sol Gran Vía,3681.0,9.7,113,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Smart Apartment Near Puerta Del Sol,4812.0,9.6,21,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
NUEVOS DUPLEX PRINCIPE VERGARA,2464.0,6.9,529,"Chamartín, Madrid",0.0,Chamartín,Madrid
"Cozy wood cabin, Casino, Pool, 25 min to Madrid Center",2172.0,7.7,4,Madrid,0.0,Madrid,Madrid
Gran Hotel Inglés - The Leading Hotels of the World,7406.0,9.3,967,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
Tu Hogar Bohemio para 9 en San Dimas 10 E2,2373.0,6.1,45,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apartamento en el centro de Madrid,2235.0,8.3,3,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Piso entero en calle contraviesa,2580.0,5.5,2,"Puente de Vallecas, Madrid",0.0,Puente de Vallecas,Madrid
CAR44 centro madrid,1846.0,5.5,13,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Precioso piso en la playa de Madrid a 45 min del centro de la ciudad,1106.0,8.7,19,Madrid,0.0,Madrid,Madrid
LOFT STAR THE PALMER HOUSE,1597.0,5.3,88,"Chamberí, Madrid",0.0,Chamberí,Madrid
CENTRICO APARTAMENTO CON 3 BAÑOS EN PUERTA DEL SOL y ATOCHA,3506.0,9.6,45,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
cuchi-barco,1677.0,9.2,21,Madrid,0.0,Madrid,Madrid
Apartamento 3 Dormitorios en Sanchez Preciados,1018.0,1.5,29,"Moncloa - Aravaca, Madrid",0.0,Moncloa - Aravaca,Madrid
"Chalet IFema 5 Habitaciones 4 baños, parking free",3032.0,6.9,9,"Barajas, Madrid",0.0,Barajas,Madrid
Charming Apartment Madrid 50m² +AC,2663.0,0.0,0,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apartamentos Day Madrid CHUECA Centro Gran Via Sol Malasaña,4094.0,6.5,114,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Queens Salamanca II - Alquiler Corta Duración,2564.0,6.0,4,"Salamanca, Madrid",0.0,Salamanca,Madrid
Apartamentos Day Madrid LUNA Centro Gran Via Sol Malasaña,2046.0,7.2,62,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Airport Ifema Barajas Home,2432.0,8.6,968,"Barajas, Madrid",0.0,Barajas,Madrid
Wanderlust Apartaments Gran Vía,2396.0,5.3,3,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
cuchibus,1593.0,9.0,48,Madrid,0.0,Madrid,Madrid
El Palomar de Atocha.,4198.0,0.0,0,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Villa Cardui. Casa de diseño con magníficas vistas,1830.0,6.9,15,Madrid,0.0,Madrid,Madrid
El Refugio de San Lorenzo,2274.0,2.8,20,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
los Austrias Apartamentos,2330.0,4.2,5,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apartamentos EconoStay Bernabeu,3541.0,0.0,0,"Chamartín, Madrid",0.0,Chamartín,Madrid
Apartamento Chic Urbano Luminioso,2556.0,3.3,3,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Gran Via NEW 2BR 1BTH Elevator,4049.0,8.8,9,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Ático con espectacular terraza en Bernabéu,3908.0,9.1,16,"Tetuán, Madrid",0.0,Tetuán,Madrid
Ba6 luxury plaza mayor centro,4095.0,5.3,6,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
JC Rooms Madrid Rio,5589.0,8.0,0,"Arganzuela, Madrid",0.0,Arganzuela,Madrid
Estudio familiar MADRID CENTRO,3372.0,0.0,0,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Casa Con Piscina,3749.0,0.0,0,"Fuencarral - El Pardo, Madrid",0.0,Fuencarral - El Pardo,Madrid
Welcome Puerta del Sol,2867.0,1.0,0,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Reina Victoria Apartaments & SuiteS TPH,7734.0,4.3,26,"Tetuán, Madrid",0.0,Tetuán,Madrid
Madrid Urban Getaway - 2BR Apartment,136.8,0.0,0,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
44 Centro Apartaments & Suites,9140.0,2.0,23,"Chamartín, Madrid",0.0,Chamartín,Madrid
Senator Barajas,1960.0,8.0,13574,"Barajas, Madrid",4.0,Barajas,Madrid
Vértice Roomspace,1688.0,8.1,12705,"Villaverde, Madrid",3.0,Villaverde,Madrid
Clement Barajas,2228.0,8.7,8185,"Barajas, Madrid",4.0,Barajas,Madrid
Akeah Hotel Gran Vía,4095.0,8.7,4757,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
Ilunion Alcalá Norte,3200.0,8.9,14779,"San Blas, Madrid",4.0,San Blas,Madrid
Motel One Madrid-Plaza de España,3802.0,8.8,3388,"Moncloa - Aravaca, Madrid",4.0,Moncloa - Aravaca,Madrid
Hotel Cortezo,4050.0,8.3,7460,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
Holiday Inn Express - Madrid - Airport by IHG,1973.0,8.8,5383,"San Blas, Madrid",3.0,San Blas,Madrid
Ilunion Atrium,2927.0,8.5,8654,"Ciudad Lineal, Madrid",4.0,Ciudad Lineal,Madrid
Vincci Soma,4752.0,8.3,6133,"Salamanca, Madrid",4.0,Salamanca,Madrid
Vincci Capitol,4891.0,8.7,8218,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
Hotel Mercader,1562.0,8.0,644,"Villa de Vallecas, Madrid",4.0,Villa de Vallecas,Madrid
Hotel Best Osuna,2755.0,7.7,6970,"Hortaleza, Madrid",4.0,Hortaleza,Madrid
NH Madrid Principe de Vergara,4448.0,8.5,2102,"Salamanca, Madrid",4.0,Salamanca,Madrid
Far Home Bernabeu,1580.0,8.4,3555,"Tetuán, Madrid",0.0,Tetuán,Madrid
Hotel Mirador de Chamartín,2687.0,8.4,3340,"Ciudad Lineal, Madrid",4.0,Ciudad Lineal,Madrid
"Hotel Montera Madrid, Curio Collection By Hilton",6157.0,8.9,503,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
Vincci Soho,4732.0,8.7,8143,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
Eurostars Monte Real,2694.0,8.7,2565,"Fuencarral - El Pardo, Madrid",4.0,Fuencarral - El Pardo,Madrid
AC Hotel Atocha by Marriott,4413.0,8.7,1321,"Arganzuela, Madrid",4.0,Arganzuela,Madrid
Catalonia Atocha,5080.0,8.8,6132,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
NH Madrid Nacional,4404.0,8.7,4004,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
Eurostars Madrid Tower,4420.0,8.8,4839,"Fuencarral - El Pardo, Madrid",5.0,Fuencarral - El Pardo,Madrid
Holiday Inn Madrid - Las Tablas by IHG,3035.0,8.6,1570,"Fuencarral - El Pardo, Madrid",4.0,Fuencarral - El Pardo,Madrid
Melia Castilla,7400.0,9.1,2006,"Tetuán, Madrid",4.0,Tetuán,Madrid
NH Madrid Zurbano,4512.0,8.3,3683,"Chamberí, Madrid",4.0,Chamberí,Madrid
Apartamentos Juan Bravo,2897.0,8.4,7822,"Salamanca, Madrid",0.0,Salamanca,Madrid
NH Paseo de la Habana,4118.0,8.1,2373,"Chamartín, Madrid",4.0,Chamartín,Madrid
Catalonia Las Cortes,5680.0,9.3,2255,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
MAD Apartments by Olala Homes,1420.0,8.4,861,"Puente de Vallecas, Madrid",0.0,Puente de Vallecas,Madrid
Catalonia Goya,4910.0,8.9,2659,"Salamanca, Madrid",4.0,Salamanca,Madrid
Petit Palace Savoy Alfonso XII,3954.0,8.4,2226,"Retiro, Madrid",4.0,Retiro,Madrid
Exe Moncloa,3694.0,8.3,5255,"Chamberí, Madrid",4.0,Chamberí,Madrid
II Castillas Madrid,3788.0,8.7,9336,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
NH Madrid Lagasca,5546.0,8.1,1624,"Salamanca, Madrid",4.0,Salamanca,Madrid
Eurostars Central,3945.0,8.3,4903,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
The Social Hub Madrid,3414.0,8.8,3811,"Moncloa - Aravaca, Madrid",0.0,Moncloa - Aravaca,Madrid
Catalonia El Retiro,3427.0,8.9,2970,"Retiro, Madrid",4.0,Retiro,Madrid
Catalonia Plaza Mayor,4960.0,9.0,4033,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
BYPILLOW Velázquez 45,3764.0,8.6,4383,"Salamanca, Madrid",3.0,Salamanca,Madrid
NH Collection Madrid Abascal,4904.0,8.8,2588,"Chamberí, Madrid",4.0,Chamberí,Madrid
AC Hotel Recoletos by Marriott,6545.0,8.6,195,"Salamanca, Madrid",4.0,Salamanca,Madrid
The Westin Madrid Cuzco,6227.0,8.9,76,"Tetuán, Madrid",4.0,Tetuán,Madrid
Room Mate Mario,3171.0,8.7,3895,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
"Hotel Madrid Gran Via 25, Affiliated by Meliá",4120.0,7.9,6080,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
Hotel Chamartin The One,3162.0,8.2,10965,"Chamartín, Madrid",4.0,Chamartín,Madrid
Sercotel Madrid Aeropuerto,2961.0,8.4,4898,"Barajas, Madrid",4.0,Barajas,Madrid
Claridge Madrid,3908.0,8.7,3699,"Retiro, Madrid",4.0,Retiro,Madrid
Crowne Plaza Madrid - Centre Retiro by IHG,3949.0,8.8,1343,"Retiro, Madrid",4.0,Retiro,Madrid
Smartr Madrid Gran Via 47,3086.0,7.3,7958,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
ICON Wipton,6139.0,8.9,1186,"Salamanca, Madrid",4.0,Salamanca,Madrid
Hispano Gran Vía,2436.0,8.3,1709,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Avani Alonso Martinez Madrid hotel -previously NH Alonso Martinez,4561.0,8.7,1533,"Chamberí, Madrid",4.0,Chamberí,Madrid
Ikonik Gran Vía,4198.0,8.9,1636,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
Apartamentos Soho Boutique Hoy No Me Puedo Levantar,5822.0,8.5,2266,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Hotel Indigo Madrid - Gran Vía by IHG,4774.0,8.6,1430,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
Pestana CR7 Gran Vía Madrid,5200.0,8.4,6976,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
JW Marriott Hotel Madrid,127.81,8.9,191,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
NH Madrid Atocha,3929.0,8.3,2785,"Retiro, Madrid",3.0,Retiro,Madrid
The Social Hub Madrid 4 star,4087.0,8.9,1604,"Moncloa - Aravaca, Madrid",4.0,Moncloa - Aravaca,Madrid
Hostal Castilla II Puerta del Sol,3256.0,8.2,2705,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Be Mate Trafalgar,4140.0,9.3,170,"Chamberí, Madrid",0.0,Chamberí,Madrid
Encantador alojamiento junto al vibrante corazón de Madrid Río,2470.0,7.7,571,"Latina, Madrid",0.0,Latina,Madrid
UMusic Hotel Madrid,4903.0,8.9,3353,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
Suite Prado,4691.0,8.7,1141,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
"Thompson Madrid, by Hyatt",101.17,9.0,678,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
OXYGEN HOSTEL Capsula,1433.0,7.8,2501,"Arganzuela, Madrid",0.0,Arganzuela,Madrid
"The Principal Madrid, Small Luxury Hotels",9253.0,8.7,714,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
Only YOU Hotel Atocha,6010.0,9.1,7005,"Retiro, Madrid",4.0,Retiro,Madrid
Brach Madrid - Evok Collection,9707.0,9.4,11,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
"Hospes Puerta de Alcalá, a Member of Design Hotels",8693.0,8.7,1015,"Salamanca, Madrid",5.0,Salamanca,Madrid
Hostal Matheu,3271.0,7.5,684,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Only YOU Boutique Hotel Madrid,112.53,9.3,2360,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
B&B HOTEL Madrid Carabanchel,2320.0,9.0,462,"Carabanchel, Madrid",2.0,Carabanchel,Madrid
GZ20 Estudio Chamberi Madrid Centro AC WIFI,1610.0,10.0,2,"Chamberí, Madrid",0.0,Chamberí,Madrid
ibis budget Madrid Aeropuerto,1405.0,7.7,3456,"San Blas, Madrid",1.0,San Blas,Madrid
Casa de Huéspedes Prada,2002.0,7.8,667,"Centro de Madrid, Madrid",1.0,Centro de Madrid,Madrid
Hotel Madrid Río,2869.0,7.3,8708,"Usera, Madrid",2.0,Usera,Madrid
Be Casa - Valdebebas,1645.0,8.7,1490,"Hortaleza, Madrid",0.0,Hortaleza,Madrid
AP Leganitos -No Ascensor-,1595.0,6.6,143,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Hostal La Perla Asturiana,2030.0,8.3,3279,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Hostal Mediterranea,1197.0,4.4,1031,"Villa de Vallecas, Madrid",3.0,Villa de Vallecas,Madrid
Vincci Vía - 66,4613.0,8.6,6487,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
Hostal Los Ángeles,2296.0,8.5,3302,"Tetuán, Madrid",3.0,Tetuán,Madrid
Queens Bernabéu - Alquiler Corta Duración,2153.0,8.2,14,"Chamartín, Madrid",0.0,Chamartín,Madrid
NYX Hotel Madrid by Leonardo Hotels,3403.0,8.4,5982,"Tetuán, Madrid",4.0,Tetuán,Madrid
Luze Castellana,3700.0,8.4,3363,"Tetuán, Madrid",3.0,Tetuán,Madrid
Hostal Los 5 Pinos,1465.0,8.7,1293,"San Blas, Madrid",3.0,San Blas,Madrid
Real Beds Madrid,2598.0,8.0,1509,"Chamartín, Madrid",0.0,Chamartín,Madrid
Hostal Centro Sol Madrid,2377.0,8.8,2044,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Hostal La Nava,1960.0,8.2,3075,"Salamanca, Madrid",1.0,Salamanca,Madrid
Hostal San Lorenzo,2988.0,8.2,3514,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
Queens Plaza España - Alquiler Corta Duración,2002.0,9.5,2,"Moncloa - Aravaca, Madrid",0.0,Moncloa - Aravaca,Madrid
Apartamentos SmartRenting Justicia,1782.0,6.4,79,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
NODIS MADRID POZUELO,2612.0,7.8,270,Madrid,1.0,Madrid,Madrid
Hostal Santa Barbara,1872.0,6.2,2099,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Pensión Berti Madrid,1444.0,6.5,2315,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apartamentos SmartRenting Tribunal,1936.0,6.2,373,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Ideal Hostel Madrid,1310.0,5.3,925,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Madrid Live Coworking - SELF SERVICE -,1682.0,7.6,470,"Latina, Madrid",0.0,Latina,Madrid
Hostal 4C Cuatro Caminos,2256.0,8.3,2063,"Tetuán, Madrid",3.0,Tetuán,Madrid
Dobo Homes - EG13,2080.0,8.7,256,"Puente de Vallecas, Madrid",0.0,Puente de Vallecas,Madrid
Dobo Homes - VN17,2166.0,8.2,94,"Ciudad Lineal, Madrid",0.0,Ciudad Lineal,Madrid
Petit Palace Lealtad Plaza,4203.0,8.4,2905,"Retiro, Madrid",4.0,Retiro,Madrid
easyHotel Madrid Centro Atocha,2376.0,7.9,5660,"Arganzuela, Madrid",2.0,Arganzuela,Madrid
Boutique Urban Madrid Génova,2469.0,6.9,4557,"Chamberí, Madrid",0.0,Chamberí,Madrid
Apartamentos EconoStay Chueca,1890.0,6.3,103,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Petit Palace Arenal,4444.0,8.6,4218,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
Letoh Letoh Gran Vía,3236.0,8.8,8948,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Petit Palace President Castellana,3475.0,7.5,3863,"Salamanca, Madrid",4.0,Salamanca,Madrid
Apartamentos EconoStay Fuencarral,2268.0,6.8,105,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
room Select Sol,3207.0,8.8,6109,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
B&B HOTEL Madrid Centro Fuencarral 52,4253.0,8.8,3729,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
NH Collection Madrid Paseo del Prado,5455.0,8.6,2226,"Centro de Madrid, Madrid",5.0,Centro de Madrid,Madrid
Petit Palace Plaza Mayor,3393.0,8.3,3627,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
Barceló Emperatriz,6788.0,8.8,1717,"Salamanca, Madrid",5.0,Salamanca,Madrid
ICON Embassy,5486.0,8.6,1451,"Salamanca, Madrid",4.0,Salamanca,Madrid
TaCH Madrid Airport,2228.0,8.7,8594,"Barajas, Madrid",4.0,Barajas,Madrid
Motel lavapies,1620.0,4.3,337,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apartamentos Sol Madrid,3001.0,8.1,1320,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
B&B HOTEL Madrid Centro Puerta del Sol,4277.0,9.0,4983,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
N1 Casa de Madrid - greenpeace line,2586.0,5.6,1473,"Salamanca, Madrid",0.0,Salamanca,Madrid
Chic & Basic dot,3812.0,8.8,3110,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
Dobo Homes - L35,2422.0,8.2,26,"Tetuán, Madrid",0.0,Tetuán,Madrid
Dobo Homes - SB20,2923.0,8.6,318,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
B&B Eco Cubes,2304.0,6.9,35,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Abalú Design Boutique Hotel Gran Via,5180.0,7.8,1547,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
FORTINN Puerta del Sol,4150.0,9.3,39,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
BOOKINGHAM ★Apartaments & Suites,6988.0,5.5,30,"Moncloa - Aravaca, Madrid",0.0,Moncloa - Aravaca,Madrid
